"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"cubature","cubature","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.4",NA,NA,"Rcpp","Rcpp","testthat, knitr, mvtnorm, benchr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"curl","curl","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.3",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"CVST","CVST","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2-2",NA,"kernlab,Matrix",NA,NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","3.6.1"
"cvTools","cvTools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.2",NA,"R (>= 2.11.0), lattice, robustbase","lattice, robustbase, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"cyclocomp","cyclocomp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,NA,"callr, crayon, desc, remotes, withr",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"d3heatmap","d3heatmap","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.1.2",NA,NA,"scales (>= 0.2.5), htmlwidgets, png, base64enc, dendextend (>=
0.18.0), stats, grDevices",NA,"shiny, knitr, rmarkdown",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"data.table","data.table","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.12.8",NA,"R (>= 3.1.0)","methods",NA,"bit64, curl, R.utils, knitr, xts, nanotime, zoo, yaml",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"DataExplorer","DataExplorer","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.1",NA,"R (>= 3.5)","data.table (>= 1.12.8), reshape2 (>= 1.4.3), scales (>=
1.1.0), ggplot2, gridExtra, rmarkdown (>= 2.0), networkD3 (>=
0.4), stats, utils, tools, parallel",NA,"testthat, covr, knitr, jsonlite, nycflights13",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"DBI","DBI","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, hms, knitr, magrittr, rmarkdown, rprojroot,
RSQLite (>= 1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.1"
"dbplyr","dbplyr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.2",NA,"R (>= 3.1)","assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils",NA,"bit64, covr, knitr, Lahman, nycflights13, RMariaDB (>=
1.0.2), rmarkdown, RMySQL (>= 0.10.11), RPostgreSQL (>= 0.4.1),
RSQLite (>= 2.1.0), testthat (>= 2.0.0), withr (>= 2.1.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"ddalpha","ddalpha","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.11",NA,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry","Rcpp (>= 0.11.0)","BH, Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"debugme","debugme","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,NA,"crayon, grDevices",NA,"covr, mockery, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"deldir","deldir","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1-25",NA,"R (>= 0.99)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"dendextend","dendextend","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.13.4",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, d3heatmap, dynamicTreeCut,
pvclust, corrplot, DendSer, MASS, cluster, fpc, circlize (>=
0.2.5), covr","ggdendro, dendroextras, Hmisc, data.table, rpart","GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"DEoptim","DEoptim","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2-5",NA,"parallel",NA,NA,"foreach, iterators, colorspace, lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"DEoptimR","DEoptimR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-8",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"Deriv","Deriv","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.0",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"desc","desc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.0",NA,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"devtools","devtools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2.2",NA,"R (>= 3.0.2), usethis (>= 1.5.0)","callr, cli, covr (>= 3.2.0), crayon, desc, digest, DT,
ellipsis (>= 0.3.0), glue, git2r (>= 0.23.0), httr (>= 0.4),
jsonlite, memoise (>= 1.0.0), pkgbuild (>= 1.0.3), pkgload (>=
1.0.2), rcmdcheck (>= 1.3.3), remotes (>= 2.1.1), rlang,
roxygen2 (>= 6.1.1), rstudioapi (>= 0.7), rversions,
sessioninfo (>= 1.1.1), stats, testthat (>= 2.1.1), tools,
utils, withr",NA,"BiocManager, bitops, curl (>= 0.9), evaluate, foghorn (>=
1.1.0), gmailr (> 0.7.0), knitr, lintr (>= 0.2.1), mockery,
pingr, MASS, pkgdown, Rcpp (>= 0.10.0), rhub (>= 1.0.2),
rmarkdown, spelling (>= 1.1), whisker",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"dfoptim","dfoptim","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2018.2-1",NA,"R (>= 2.10.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"DiagrammeR","DiagrammeR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.5",NA,"R (>= 3.2.0)","dplyr (>= 0.7.6), downloader (>= 0.4), glue (>= 1.3.0),
htmltools (>= 0.3.6), htmlwidgets (>= 1.2), igraph (>= 1.2.2),
influenceR (>= 0.1.0), magrittr (>= 1.5), purrr (>= 0.2.5),
RColorBrewer (>= 1.1-2), readr (>= 1.1.1), rlang (>= 0.2.2),
rstudioapi (>= 0.7), scales (>= 1.0.0), stringr (>= 1.3.1),
tibble (>= 1.4.2), tidyr (>= 0.8.1), viridis (>= 0.5.1),
visNetwork (>= 2.0.4)",NA,"covr, DiagrammeRsvg, rsvg, knitr, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"dials","dials","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.0.6",NA,"scales, R (>= 2.10)","glue, purrr, tibble, rlang, utils, withr, DiceDesign, dplyr,
lifecycle",NA,"testthat, knitr, rpart, covr, kernlab, xml2",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"DiceDesign","DiceDesign","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.8-1",NA,"R (>= 2.10)",NA,NA,"rgl, randtoolbox, lattice",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"DiceKriging","DiceKriging","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5.6",NA,"methods",NA,NA,"rgenoud (>= 5.8-2.0), foreach, doParallel, testthat, numDeriv",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"dichromat","dichromat","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.1"
"diffobj","diffobj","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.4",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"digest","digest","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.25",NA,"R (>= 3.1.0)","utils",NA,"tinytest, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"dimRed","dimRed","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.3",NA,"R (>= 3.0.0), DRR","magrittr, methods",NA,"NMF, MASS, Matrix, RANN, RSpectra, Rtsne, cccd, coRanking,
diffusionMap, energy, fastICA, ggplot2, graphics, igraph,
keras, kernlab, knitr, lle, loe, optimx, pcaL1, pcaPP,
reticulate, rgl, scales, scatterplot3d, stats, tensorflow,
testthat, tidyr, tinytex, umap, vegan",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"diptest","diptest","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.75-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"directlabels","directlabels","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2020.1.31",NA,NA,"grid, quadprog",NA,"MASS, inlinedocs, ggplot2 (>= 2.0), rlang, lattice,
alphahull, nlme, lars, latticeExtra, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"distances","distances","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.8",NA,"R (>= 3.4.0)","stats",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"doBy","doBy","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.6.5",NA,"R (>= 3.6.0), methods","pbkrtest (>= 0.4-8.1), MASS, Matrix, dplyr, plyr, magrittr,
Deriv, tibble, broom",NA,"multcomp, geepack, lme4, survival, ggplot2, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"doMC","doMC","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.6",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel","utils",NA,NA,"compiler, RUnit","GPL-2",NA,NA,"unix",NA,"no","3.6.1"
"doParallel","doParallel","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.15",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","3.6.1"
"dotCall64","dotCall64","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-0",NA,"R (>= 3.1)",NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"dotdensity","dotdensity","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"dplyr (>= 0.7.2)",NA,NA,"knitr, cancensus, ggplot2 (>= 2.2.1.9000), sf, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"dotwhisker","dotwhisker","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","grid, stats, broom, dplyr, stringr, ggstance, rlang, purrr,
gtable",NA,"mfx, ordinal, tibble, gridExtra, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"downloader","downloader","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"dplyr","dplyr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.5",NA,"R (>= 3.2.0)","ellipsis, assertthat (>= 0.2.0), glue (>= 1.3.0), magrittr (>=
1.5), methods, pkgconfig, R6, Rcpp (>= 1.0.1), rlang (>=
0.4.0), tibble (>= 2.0.0), tidyselect (>= 0.2.5), utils","BH, plogr (>= 0.2.0), Rcpp (>= 1.0.1)","bit64, callr, covr, crayon (>= 1.3.4), DBI, dbplyr, dtplyr,
ggplot2, hms, knitr, Lahman, lubridate, MASS, mgcv,
microbenchmark, nycflights13, rmarkdown, RMySQL, RPostgreSQL,
RSQLite, testthat, withr, broom, purrr, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"DRR","DRR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.0.4",NA,"kernlab, CVST, Matrix","stats, methods",NA,"knitr, rmarkdown",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"DT","DT","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.13",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.2.0)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"dviz.supp","dviz.supp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"R (>= 3.5.0), cowplot (>= 1.0.0), colorspace (>= 1.4-0),
colorblindr (>= 0.1.0), dplyr (>= 0.7.4)","ggplot2 (>= 2.2.1), gtable, rstanarm",NA,"tidyr, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"dygraphs","dygraphs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"dynlm","dynlm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3-6",NA,"R (>= 2.10.0), zoo","stats, car (>= 2.0-0), lmtest",NA,"datasets, sandwich, strucchange, TSA",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"e1071","e1071","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.7-3",NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"ECOSolveR","ECOSolveR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.3",NA,NA,NA,NA,"knitr, rmarkdown, testthat, Matrix, covr, slam",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"effects","effects","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.1-4",NA,"R (>= 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr, betareg, alr4",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"elevatr","elevatr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,"R (>= 3.0.0)","sp, raster, httr, jsonlite, progress, sf",NA,"testthat, knitr, rmarkdown, formatR, rgdal",NA,"CC0",NA,NA,NA,NA,"no","3.6.1"
"ellipse","ellipse","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.1",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"ellipsis","ellipsis","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.0",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"emdbook","emdbook","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.12",NA,NA,"MASS, lattice, plyr, coda, bbmle",NA,"R2jags, ellipse, SuppDists, numDeriv, testthat, rgl",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"emmeans","emmeans","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.5",NA,"R (>= 3.2)","estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, plyr, mvtnorm, xtable (>= 1.8-2)",NA,"bayesplot, biglm, brms, car, coda (>= 0.17), ggplot2,
lattice, mediation, mgcv, multcomp, multcompView, nlme, ordinal
(>= 2014.11-12), pbkrtest (>= 0.4-1), lme4, lmerTest (>=
2.0.32), MASS, MuMIn, rsm, knitr, rmarkdown, scales, testthat","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"estimability","estimability","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"evaluate","evaluate","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"expm","expm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.999-4",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"expsmooth","expsmooth","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3",NA,"R (>= 2.0.0), forecast",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"extraDistr","extraDistr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.8.11",NA,"R (>= 3.1.0)","Rcpp","Rcpp","testthat, LaplacesDemon, VGAM, evd, hoa, skellam, triangle,
actuar",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"extrafont","extrafont","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"extrafontdb","extrafontdb","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.1"
"factoextra","factoextra","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.7",NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"FactoMineR","FactoMineR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3",NA,"R (>= 3.5.0)","car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"fansi","fansi","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.1",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"farver","farver","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.3",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"fastDummies","fastDummies","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6.1",NA,"R (>= 2.10)","data.table, tibble, stringi",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"fastICA","fastICA","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-2",NA,"R (>= 3.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"fastmap","fastmap","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.1",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"fastmatch","fastmatch","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"fBasics","fBasics","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3042.89.1",NA,"R (>= 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial,
gss, stabledist",NA,"akima, RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"feather","feather","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.5",NA,NA,"Rcpp, tibble (>= 2.0.0), hms","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.6.1"
"fields","fields","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","10.3",NA,"R (>= 3.0), methods, spam, maps",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"findpython","findpython","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.5",NA,NA,NA,NA,"covr, reticulate, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"fitdistrplus","fitdistrplus","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-14",NA,"R (>= 3.2.0), MASS, grDevices, survival, methods, npsurv","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, knitcitations,
ggplot2, GeneralizedHyperbolic",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"flashClust","flashClust","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"flexdashboard","flexdashboard","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.1.1",NA,"R (>= 3.0.2)","tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.0), shiny (>= 0.13)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"flexmix","flexmix","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3-15",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"fma","fma","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.4",NA,"R (>= 2.0.0), forecast (>= 8.1)",NA,NA,"knitr, rmarkdown, tidyverse",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"FNN","FNN","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"fontBitstreamVera","fontBitstreamVera","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","3.6.1"
"fontLiberation","fontLiberation","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","3.6.1"
"fontquiver","fontquiver","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"forcats","forcats","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.0",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"foreach","foreach","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5.0",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","3.6.1"
"forecast","forecast","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","8.12",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","uroot, knitr, rmarkdown, rticles, testthat, methods",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"forge","forge","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,"R (>= 3.1.2)","rlang (>= 0.3.1), magrittr",NA,"testthat, covr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","3.6.1"
"formatR","formatR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.7",NA,"R (>= 3.0.2)",NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"formattable","formattable","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0.1",NA,"R (> 3.0.2)","methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"Formula","Formula","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-3",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"fpc","fpc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2-5",NA,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, EMMIXskew, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"fpp","fpp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5",NA,"R (>= 2.0.0), graphics, stats, forecast, fma, expsmooth,
lmtest, tseries",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
